"","Season1","Season2","Season3","Season4","quarter","week_num","Pre_weaning_mortality","MYCOatPlacement","PRRSatPlacement","avg_parity_at_farrow3","Lactation_days3","LateralCoronavirus","LateralPRRS","LateralEnteric","OtherHealthIssue","mortality_60days"
"2290",1,0,0,0,1,11,0.145086,0,1,4.1,18.8,1,1,0,0,4.1051567239636
"2291",1,0,0,0,1,11,0.169265,1,1,3.6,23.4,0,0,0,0,4.53885257806826
"2292",1,0,0,0,1,12,8.967596,1,0,3.5,18.2,0,0,0,0,2.26297307842372
"2293",1,0,0,0,1,12,0.107617,1,1,4.5,19.7,0,0,0,0,8.58193706579485
"2294",1,0,0,0,1,9,0.165442,1,1,4.5,17.8,0,0,0,0,11.1507415055378
"2295",1,0,0,0,1,10,0.130399,1,0,3.69928673323823,15.1539229671897,0,0,0,0,4.61920213781256
"2296",1,0,0,0,1,10,0.131687,1,1,3.37632675239993,19.6038761094005,1,0,1,0,21.1217885859973
"2297",1,0,0,0,1,10,0.167434,0,1,3.9,18.5,0,0,0,0,7.91476407914764
"2298",1,0,0,0,1,11,0.122427,0,0,4.48761040532365,16.2256624319419,0,1,0,0,2.47113163972286
"2299",1,0,0,0,1,11,0.169265,1,1,3.6,23.4,0,1,0,0,4.86709097716211
"2300",1,0,0,0,1,11,0.156605,1,1,3.5,19.2,0,0,0,0,13.8359891177614
"2301",1,0,0,0,1,11,0.124692,0,1,4.3,18.9,0,0,1,0,4.00926585887384
"2302",1,0,0,0,1,11,0.109416,1,1,4.5,16.6,0,0,0,1,10.8547655068079
"2303",1,0,0,0,1,11,0.178319,1,1,6.39988890946121,22.2688761340492,1,0,0,0,0.732024355202846
"2304",1,0,0,0,1,12,0.147931,0,1,3.7,19.8,0,0,1,0,3.3059507112803
"2305",1,0,0,0,1,12,0.125708,1,1,4.27098301952177,18.4450849023911,0,0,0,0,6.42158032943423
"2306",1,0,0,0,1,12,0.107617,1,1,4.5,19.7,0,0,0,0,7.93021411578113
"2307",1,0,0,0,1,12,0.106666,1,0,4.3,17.9,0,0,0,0,3.44827586206897
"2308",1,0,0,0,1,12,0.192723,0,1,4.1,18.1,0,0,0,0,5.40592535590612
"2309",1,0,0,0,1,13,0.116471,0,0,4.08456683168317,16.8802475247525,0,0,0,0,1.69114374721851
"2310",1,0,0,0,1,13,8.619281,1,0,3.97017975402081,17.9007947019868,0,0,0,0,1.79110485007044
"2311",1,0,0,0,1,13,0.182991,0,0,2.91280487804878,18.7128048780488,0,0,0,0,4.52249770431589
"2312",1,0,0,0,1,13,0.128742,1,1,4.3,18.5,0,0,0,0,1.5389762462362
"2313",1,0,0,0,1,13,0.135862,0,1,3.8,19.9,0,0,0,0,3.0643910007758
"2314",1,0,0,0,1,13,0.116471,0,0,4.08456683168317,16.8802475247525,0,0,0,0,4.65375194834113
"2315",0,1,0,0,2,14,0.141868,1,1,4.5,20.3,0,0,0,0,6.63951120162933
"2316",0,1,0,0,2,14,0.158137,1,1,6.95144472361809,23.8597298994975,0,0,0,0,0.488352141490134
"2317",0,1,0,0,2,14,8.995893,1,1,3.7,19.2,0,0,0,0,8.32424572882588
"2318",1,0,0,0,1,5,0.187744,0,0,4.2,16.2,0,0,0,0,2.24867724867725
"2319",1,0,0,0,1,8,0.121986,1,1,5.60228525422679,21.3200161020623,0,0,1,0,3.28151986183074
"2320",1,0,0,0,1,9,0.116143,0,0,4.1,15.8,0,0,0,0,1.09111520476123
"2321",1,0,0,0,1,9,9.094575,1,0,3.8,19.2,0,0,0,0,2.06932911559246
"2322",1,0,0,0,1,9,0.128794,0,1,3.9,18.3,0,0,0,0,1.5993907083016
"2323",1,0,0,0,1,13,0.116471,0,0,4.08456683168317,16.8802475247525,0,0,0,0,2.45441795231417
